Time resolution is 1 ps
Time	State	Sample Valid	SPI CS	SPI CLK	TX Byte	RX Byte	Bytes Sent
747000	2	0	1	1	00	00	  0
747000	2	0	1	1	00	00	  0
747000	2	0	1	1	00	00	  0
747000	2	0	1	1	00	00	  0
747000	2	0	1	1	00	00	  0
748000	2	0	1	1	00	00	  0
748000	2	0	1	1	00	00	  0
748000	2	0	1	1	00	00	  0
748000	2	0	1	1	00	00	  0
748000	2	0	1	1	00	00	  0
749000	2	0	1	1	00	00	  0
749000	2	0	1	1	00	00	  0
749000	2	0	1	1	00	00	  0
749000	2	0	1	1	00	00	  0
749000	2	0	1	1	00	00	  0
750000	2	0	1	1	00	00	  0
750000	2	0	1	1	00	00	  0
750000	2	0	1	1	00	00	  0
750000	2	0	1	1	00	00	  0
750000	2	0	1	1	00	00	  0
751000	2	0	1	1	00	00	  0
751000	2	0	1	1	00	00	  0
751000	2	0	1	1	00	00	  0
751000	2	0	1	1	00	00	  0
751000	2	0	1	1	00	00	  0
752000	2	0	1	1	00	00	  0
752000	2	0	1	1	00	00	  0
752000	2	0	1	1	00	00	  0
752000	2	0	1	1	00	00	  0
752000	2	0	1	1	00	00	  0
753000	2	0	1	1	00	00	  0
753000	2	0	1	1	00	00	  0
753000	2	0	1	1	00	00	  0
753000	2	0	1	1	00	00	  0
753000	2	0	1	1	00	00	  0
754000	2	0	1	1	00	00	  0
754000	2	0	1	1	00	00	  0
754000	2	0	1	1	00	00	  0
754000	2	0	1	1	00	00	  0
754000	2	0	1	1	00	00	  0
755000	2	0	1	1	00	00	  0
755000	2	0	1	1	00	00	  0
755000	2	0	1	1	00	00	  0
755000	2	0	1	1	00	00	  0
755000	2	0	1	1	00	00	  0
756000	2	0	1	1	00	00	  0
756000	2	0	1	1	00	00	  0
756000	2	0	1	1	00	00	  0
756000	2	0	1	1	00	00	  0
756000	2	0	1	1	00	00	  0
757000	2	0	1	1	00	00	  0
757000	2	0	1	1	00	00	  0
757000	2	0	1	1	00	00	  0
757000	2	0	1	1	00	00	  0
757000	2	0	1	1	00	00	  0
758000	2	0	1	1	00	00	  0
758000	2	0	1	1	00	00	  0
758000	2	0	1	1	00	00	  0
758000	2	0	1	1	00	00	  0
758000	2	0	1	1	00	00	  0
759000	2	0	1	1	00	00	  0
759000	2	0	1	1	00	00	  0
759000	2	0	1	1	00	00	  0
759000	2	0	1	1	00	00	  0
759000	2	0	1	1	00	00	  0
760000	2	0	1	1	00	00	  0
760000	2	0	1	1	00	00	  0
760000	2	0	1	1	00	00	  0
